id,type
001,1
002,1
003,1
004,1
005,1
006,1
007,1
008,1
009,1
010,1
011,1
012,1
013,1
014,1
015,1
016,1
017,1
018,1
019,1
020,1
021,1
022,1
023,1
024,1
025,1
026,1
027,1
028,1
029,1
030,1
031,1
032,1
033,1
034,1
035,1
036,1
037,1
038,1
039,1
040,1
041,1
042,1
043,1
044,1
045,1
046,1
047,1
048,1
049,1
050,1
051,2
052,2
053,2
054,2
055,1
056,1
057,1
058,1
059,1
060,1
061,2
062,0
063,0
064,2
065,2
066,0
067,0
068,2
069,2
070,0
071,2
072,2
073,2
074,2
075,2
076,2
077,0
078,2
079,0
080,2
081,2
082,0
083,0
084,0
085,2
086,0
087,0
088,2
089,2
090,2
091,3
092,2
093,2
094,0
095,2
096,2
097,0
098,0
099,0
100,0
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,0
120,2
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,2
131,1
132,3
133,1
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,1
142,3
143,1
144,3
145,1
146,3
147,3
148,3
149,3
150,3
151,3
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
